year,raceId,boatType,classId,place,value,temp,rain,water,n_paddler
2011,ADK90,Voyageur,voyageur,1,3.830277777777778,62.9,0,7.28,6
2013,ADK90,Canoe,oc4open,1,3.8469444444444445,57.4,0.047,4.6,4
2022,ADK90,Canoe,oc4,1,3.96475,67.5,0,3.91,4
2024,ADK90,Kayak,k2,1,4.012888888888889,59.6,0.768,4.26,2
2022,ADK90,Kayak,k1unlimitedopen,1,4.022944444444445,67.5,0,3.91,1
2014,ADK90,Canoe,oc4open,1,4.048611111111111,68.9,0.067,4.01,4
2017,ADK90,Kayak,k2,1,4.053888888888889,52.8,0.02,5.46,2
2023,ADK90,Canoe,oc4mix,1,4.0608611111111115,65.2,0,5,4
2011,ADK90,Voyageur,voyageur,2,4.0625,62.9,0,7.28,6
2024,ADK90,Canoe,oc4open,1,4.074777777777778,59.6,0.768,4.26,4
2019,ADK90,Kayak,k1unlimited,1,4.075555555555556,59.3,0.008,4.97,1
2024,ADK90,Canoe,oc4openmix,1,4.0778888888888885,59.6,0.768,4.26,4
2021,ADK90,Kayak,k4,1,4.108888888888889,60,0,5.13,4
2008,ADK90,Voyageur,voyageur,1,4.115,70.2,0.323,4.58,6
2013,ADK90,Canoe,oc4open,2,4.116388888888889,57.4,0.047,4.6,4
2022,ADK90,Canoe,oc4,2,4.120611111111112,67.5,0,3.91,4
2016,ADK90,Kayak,k2,1,4.121111111111111,69.6,0.004,3.19,2
2017,ADK90,Canoe,oc4open,1,4.124444444444444,52.8,0.02,5.46,4
2011,ADK90,Canoe,oc4open,1,4.128611111111111,62.9,0,7.28,4
2011,ADK90,Canoe,oc4open,2,4.128888888888889,62.9,0,7.28,4
2021,ADK90,Canoe,oc4,1,4.141111111111111,60,0,5.13,4
2021,ADK90,Canoe,oc4,2,4.141111111111111,60,0,5.13,4
2023,ADK90,Kayak,k1unlimited,1,4.148361111111111,65.2,0,5,1
2019,ADK90,Canoe,oc4open,1,4.149444444444445,59.3,0.008,4.97,4
2019,ADK90,Canoe,oc4open,2,4.165,59.3,0.008,4.97,4
2013,ADK90,Canoe,oc4mix,1,4.193333333333333,57.4,0.047,4.6,4
2023,ADK90,Canoe,oc4mix,2,4.193472222222222,65.2,0,5,4
2013,ADK90,Canoe,oc4open,3,4.193888888888889,57.4,0.047,4.6,4
2024,ADK90,Kayak,k1openmaster,1,4.213111111111111,59.6,0.768,4.26,1
2014,ADK90,Canoe,oc4open,2,4.213611111111111,68.9,0.067,4.01,4
